IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo point
302598.0;Platane;Platanus;x hispanica;JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL;Arbre;Jardin;PARIS 8E ARRDT;Secteur Grand Palais;;000109003;583.0;29.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.865247802,2.31335175239
2002389.0;Platane;Platanus;x hispanica;ROUTE DU LAC A BAGATELLE;Arbre;Jardin;BOIS DE BOULOGNE;16-10;;001201001;534.0;45.0;Mature;Inconnue;;1872-01-01T01:02:49+00:53;OUI;48.8671184424,2.25294211329
136460.0;Bouleau;Betula;nigra;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00030015;219.0;20.0;Mature;Inconnue;;1982-01-01T02:00:00+01:00;OUI;48.8477822447,2.25372288858
2002349.0;Pin;Pinus;nigra subsp. laricio;RESERVOIR DE LA GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16-08;;000901001;241.0;30.0;Mature;Inconnue;;1882-01-01T01:02:49+00:53;OUI;48.8630096006,2.2417737512
135262.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-07;;00000072;397.0;30.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8872385242,2.31716310443
2002372.0;Hêtre;Fagus;sylvatica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;Arbre;Jardin;BOIS DE VINCENNES;12-22;;12-22;415.0;16.0;Mature;Inconnue;''Pendula'';1864-01-01T01:02:49+00:53;OUI;48.839886234,2.43388312679
2002375.0;Chêne;Quercus;robur;FORT NEUF - AVENUE DE LA PEPINIERE / ROUTE DU GRAND MARECHAL;Arbre;Jardin;BOIS DE VINCENNES;12-26;;12-26;472.0;30.0;Mature;Inconnue;;1815-01-01T01:02:49+00:53;OUI;48.8433078707,2.44974260862
136305.0;Magnolia;Magnolia;grandiflora;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040021;190.0;9.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8472736385,2.25198968756
102053.0;Arbre aux quarante écus;Ginkgo;biloba;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;;G0310005;270.0;24.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8823220504,2.38408821582
317250.0;Platane;Platanus;x hispanica;SQUARE MONTHOLON / 79 BIS RUE LA FAYETTE;Arbre;Jardin;PARIS 9E ARRDT;;;000108001;465.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.876921106,2.34671864206
121940.0;Noisetier de Byzance;Corylus;colurna;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;Arbre;Jardin;PARIS 20E ARRDT;20-06;;000201005;160.0;16.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8658336196,2.40008292539
298210.0;Platane;Platanus;x hispanica;QUAI SAINT BERNARD;Arbre;Alignement;PARIS 5E ARRDT;Jussieux;;000301059;375.0;25.0;Mature;Inconnue;;1900-01-01T01:09:21+01:00;OUI;48.8492902734,2.35621122947
2002344.0;Orme de Sibérie;Zelkova;carpinifolia;MOULIN DE LONGCHAMP - ROUTE DES TRIBUNES;Arbre;Jardin;BOIS DE BOULOGNE;16-06;;000601001;321.0;16.0;Mature;Inconnue;;1896-01-01T01:09:21+01:00;OUI;48.8625497049,2.23789840571
106181.0;Cèdre;Cedrus;libani;SQUARE DE CHOISY;Arbre;Jardin;PARIS 13E ARRDT;13-03;;00000357;351.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8277560491,2.35926764063
125046.0;Noisetier de Byzance;Corylus;colurna;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;04-04;;000104001;210.0;19.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8527826174,2.35101604814
108277.0;Sequoia;Sequoia;sempervirens;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;;001005001;184.0;16.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8624518436,2.28959099748
104841.0;Marronnier;Aesculus;hippocastanum;SQUARE RENE LE GALL;Arbre;Jardin;PARIS 13E ARRDT;13-01;;00010270;360.0;15.0;Mature;Inconnue;;1894-01-01T01:09:21+01:00;OUI;48.8330296265,2.35069308175
2002351.0;Platane;Platanus;orientalis;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-18;;000701007;221.0;24.0;Mature;Inconnue;;1843-01-01T01:02:49+00:53;OUI;48.8704055251,2.24852119162
2002399.0;Catalpa;Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;Arbre;Jardin;BOIS DE VINCENNES;12-38;;12-38;289.0;10.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.8200711234,2.43516626469
2002358.0;Erable;Acer;opalus;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-05;;12-05;210.0;14.0;Mature;Inconnue;;1870-01-01T01:02:49+00:53;OUI;48.8303745987,2.41349281717
106913.0;Cèdre;Cedrus;libani;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;P00709013;308.0;20.0;Mature;Inconnue;''Glauca'';1700-01-01T01:02:49+00:53;OUI;48.85437945,2.29862973163
124914.0;Noisetier de Byzance;Corylus;colurna;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;Arbre;Jardin;PARIS 11E ARRDT;11-01;;000201002;265.0;21.0;Mature;Inconnue;;1882-01-01T01:02:49+00:53;OUI;48.8618538525,2.37908776833
114452.0;Micocoulier;Celtis;koraiensis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00060082;173.0;9.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8460398085,2.25406628275
